trial_number,familiar_stimulus,novel_stimulus,familiar_stimulus_item,novel_stimulus_item,complexity_condition,familiarization_time,familiar_stimulus_path,novel_stimulus_path,familiar_location_1,familiar_location_2,left_image_path_1,right_image_path_1,left_image_path_2,right_image_path_2,test_time_1,test_time_2,familiarization_time_timeout,lab,fribble_shuffle_seed,fractal_shuffle_seed,seed_group,fribble_set,test_familiar_location_order,familiarization_time_set,trial_type,List
1,Crinkle_Simple,Diamond_Simple,Crinkle,Diamond,simple,5,stimuli/images/Crinkle_Simple.png,stimuli/images/Diamond_Simple.png,right,left,stimuli/images/Diamond_Simple.png,stimuli/images/Crinkle_Simple.png,stimuli/images/Crinkle_Simple.png,stimuli/images/Diamond_Simple.png,5,5,10,lab83,22,23,7,set_2,loc_order_2,fam_time_set_2,fribble,1313
2,Pyramid_Complex,Gumdrop_Complex,Pyramid,Gumdrop,complex,15,stimuli/images/Pyramid_Complex.png,stimuli/images/Gumdrop_Complex.png,left,right,stimuli/images/Pyramid_Complex.png,stimuli/images/Gumdrop_Complex.png,stimuli/images/Gumdrop_Complex.png,stimuli/images/Pyramid_Complex.png,5,5,30,lab83,22,23,7,set_2,loc_order_2,fam_time_set_2,fribble,1313
3,Tripod_Complex,Bowl_Complex,Tripod,Bowl,complex,10,stimuli/images/Tripod_Complex.png,stimuli/images/Bowl_Complex.png,right,left,stimuli/images/Bowl_Complex.png,stimuli/images/Tripod_Complex.png,stimuli/images/Tripod_Complex.png,stimuli/images/Bowl_Complex.png,5,5,20,lab83,22,23,7,set_2,loc_order_2,fam_time_set_2,fribble,1313
4,Pacman_Simple,Cylinder_Simple,Pacman,Cylinder,simple,10,stimuli/images/Pacman_Simple.png,stimuli/images/Cylinder_Simple.png,left,right,stimuli/images/Pacman_Simple.png,stimuli/images/Cylinder_Simple.png,stimuli/images/Cylinder_Simple.png,stimuli/images/Pacman_Simple.png,5,5,20,lab83,22,23,7,set_2,loc_order_2,fam_time_set_2,fribble,1313
5,SimsDiamond_Complex,Pumpkin_Complex,SimsDiamond,Pumpkin,complex,5,stimuli/images/SimsDiamond_Complex.png,stimuli/images/Pumpkin_Complex.png,left,right,stimuli/images/SimsDiamond_Complex.png,stimuli/images/Pumpkin_Complex.png,stimuli/images/Pumpkin_Complex.png,stimuli/images/SimsDiamond_Complex.png,5,5,10,lab83,22,23,7,set_2,loc_order_2,fam_time_set_2,fribble,1313
6,Bowtie_Simple,Arrow_Simple,Bowtie,Arrow,simple,15,stimuli/images/Bowtie_Simple.png,stimuli/images/Arrow_Simple.png,right,left,stimuli/images/Arrow_Simple.png,stimuli/images/Bowtie_Simple.png,stimuli/images/Bowtie_Simple.png,stimuli/images/Arrow_Simple.png,5,5,30,lab83,22,23,7,set_2,loc_order_2,fam_time_set_2,fribble,1313
7,Frac4A_Complex,Frac4B_Complex,4A,4B,complex,10,stimuli/images/Frac4A_Complex.png,stimuli/images/Frac4B_Complex.png,right,left,stimuli/images/Frac4B_Complex.png,stimuli/images/Frac4A_Complex.png,stimuli/images/Frac4A_Complex.png,stimuli/images/Frac4B_Complex.png,5,5,20,lab83,22,23,7,set_2,loc_order_2,fam_time_set_2,fractal,1313
8,Frac2A_Simple,Frac2B_Simple,2A,2B,simple,15,stimuli/images/Frac2A_Simple.png,stimuli/images/Frac2B_Simple.png,left,right,stimuli/images/Frac2A_Simple.png,stimuli/images/Frac2B_Simple.png,stimuli/images/Frac2B_Simple.png,stimuli/images/Frac2A_Simple.png,5,5,30,lab83,22,23,7,set_2,loc_order_2,fam_time_set_2,fractal,1313
9,Frac6A_Simple,Frac6B_Simple,6A,6B,simple,5,stimuli/images/Frac6A_Simple.png,stimuli/images/Frac6B_Simple.png,left,right,stimuli/images/Frac6A_Simple.png,stimuli/images/Frac6B_Simple.png,stimuli/images/Frac6B_Simple.png,stimuli/images/Frac6A_Simple.png,5,5,10,lab83,22,23,7,set_2,loc_order_2,fam_time_set_2,fractal,1313
10,Frac5A_Complex,Frac5B_Complex,5A,5B,complex,15,stimuli/images/Frac5A_Complex.png,stimuli/images/Frac5B_Complex.png,right,left,stimuli/images/Frac5B_Complex.png,stimuli/images/Frac5A_Complex.png,stimuli/images/Frac5A_Complex.png,stimuli/images/Frac5B_Complex.png,5,5,30,lab83,22,23,7,set_2,loc_order_2,fam_time_set_2,fractal,1313
11,Frac1A_Simple,Frac1B_Simple,1A,1B,simple,10,stimuli/images/Frac1A_Simple.png,stimuli/images/Frac1B_Simple.png,right,left,stimuli/images/Frac1B_Simple.png,stimuli/images/Frac1A_Simple.png,stimuli/images/Frac1A_Simple.png,stimuli/images/Frac1B_Simple.png,5,5,20,lab83,22,23,7,set_2,loc_order_2,fam_time_set_2,fractal,1313
12,Frac3A_Complex,Frac3B_Complex,3A,3B,complex,5,stimuli/images/Frac3A_Complex.png,stimuli/images/Frac3B_Complex.png,left,right,stimuli/images/Frac3A_Complex.png,stimuli/images/Frac3B_Complex.png,stimuli/images/Frac3B_Complex.png,stimuli/images/Frac3A_Complex.png,5,5,10,lab83,22,23,7,set_2,loc_order_2,fam_time_set_2,fractal,1313
1,Diamond_Simple,Crinkle_Simple,Diamond,Crinkle,simple,5,stimuli/images/Diamond_Simple.png,stimuli/images/Crinkle_Simple.png,right,left,stimuli/images/Crinkle_Simple.png,stimuli/images/Diamond_Simple.png,stimuli/images/Diamond_Simple.png,stimuli/images/Crinkle_Simple.png,5,5,10,lab83,22,23,7,set_2,loc_order_2,fam_time_set_2,fribble,1314
2,Gumdrop_Complex,Pyramid_Complex,Gumdrop,Pyramid,complex,15,stimuli/images/Gumdrop_Complex.png,stimuli/images/Pyramid_Complex.png,left,right,stimuli/images/Gumdrop_Complex.png,stimuli/images/Pyramid_Complex.png,stimuli/images/Pyramid_Complex.png,stimuli/images/Gumdrop_Complex.png,5,5,30,lab83,22,23,7,set_2,loc_order_2,fam_time_set_2,fribble,1314
3,Bowl_Complex,Tripod_Complex,Bowl,Tripod,complex,10,stimuli/images/Bowl_Complex.png,stimuli/images/Tripod_Complex.png,right,left,stimuli/images/Tripod_Complex.png,stimuli/images/Bowl_Complex.png,stimuli/images/Bowl_Complex.png,stimuli/images/Tripod_Complex.png,5,5,20,lab83,22,23,7,set_2,loc_order_2,fam_time_set_2,fribble,1314
4,Cylinder_Simple,Pacman_Simple,Cylinder,Pacman,simple,10,stimuli/images/Cylinder_Simple.png,stimuli/images/Pacman_Simple.png,left,right,stimuli/images/Cylinder_Simple.png,stimuli/images/Pacman_Simple.png,stimuli/images/Pacman_Simple.png,stimuli/images/Cylinder_Simple.png,5,5,20,lab83,22,23,7,set_2,loc_order_2,fam_time_set_2,fribble,1314
5,Pumpkin_Complex,SimsDiamond_Complex,Pumpkin,SimsDiamond,complex,5,stimuli/images/Pumpkin_Complex.png,stimuli/images/SimsDiamond_Complex.png,left,right,stimuli/images/Pumpkin_Complex.png,stimuli/images/SimsDiamond_Complex.png,stimuli/images/SimsDiamond_Complex.png,stimuli/images/Pumpkin_Complex.png,5,5,10,lab83,22,23,7,set_2,loc_order_2,fam_time_set_2,fribble,1314
6,Arrow_Simple,Bowtie_Simple,Arrow,Bowtie,simple,15,stimuli/images/Arrow_Simple.png,stimuli/images/Bowtie_Simple.png,right,left,stimuli/images/Bowtie_Simple.png,stimuli/images/Arrow_Simple.png,stimuli/images/Arrow_Simple.png,stimuli/images/Bowtie_Simple.png,5,5,30,lab83,22,23,7,set_2,loc_order_2,fam_time_set_2,fribble,1314
7,Frac4B_Complex,Frac4A_Complex,4B,4A,complex,10,stimuli/images/Frac4B_Complex.png,stimuli/images/Frac4A_Complex.png,right,left,stimuli/images/Frac4A_Complex.png,stimuli/images/Frac4B_Complex.png,stimuli/images/Frac4B_Complex.png,stimuli/images/Frac4A_Complex.png,5,5,20,lab83,22,23,7,set_2,loc_order_2,fam_time_set_2,fractal,1314
8,Frac2B_Simple,Frac2A_Simple,2B,2A,simple,15,stimuli/images/Frac2B_Simple.png,stimuli/images/Frac2A_Simple.png,left,right,stimuli/images/Frac2B_Simple.png,stimuli/images/Frac2A_Simple.png,stimuli/images/Frac2A_Simple.png,stimuli/images/Frac2B_Simple.png,5,5,30,lab83,22,23,7,set_2,loc_order_2,fam_time_set_2,fractal,1314
9,Frac6B_Simple,Frac6A_Simple,6B,6A,simple,5,stimuli/images/Frac6B_Simple.png,stimuli/images/Frac6A_Simple.png,left,right,stimuli/images/Frac6B_Simple.png,stimuli/images/Frac6A_Simple.png,stimuli/images/Frac6A_Simple.png,stimuli/images/Frac6B_Simple.png,5,5,10,lab83,22,23,7,set_2,loc_order_2,fam_time_set_2,fractal,1314
10,Frac5B_Complex,Frac5A_Complex,5B,5A,complex,15,stimuli/images/Frac5B_Complex.png,stimuli/images/Frac5A_Complex.png,right,left,stimuli/images/Frac5A_Complex.png,stimuli/images/Frac5B_Complex.png,stimuli/images/Frac5B_Complex.png,stimuli/images/Frac5A_Complex.png,5,5,30,lab83,22,23,7,set_2,loc_order_2,fam_time_set_2,fractal,1314
