trial_number,familiar_stimulus,novel_stimulus,familiar_stimulus_item,novel_stimulus_item,complexity_condition,familiarization_time,familiar_stimulus_path,novel_stimulus_path,familiar_location_1,familiar_location_2,left_image_path_1,right_image_path_1,left_image_path_2,right_image_path_2,test_time_1,test_time_2,familiarization_time_timeout,lab,fribble_shuffle_seed,fractal_shuffle_seed,seed_group,fribble_set,test_familiar_location_order,familiarization_time_set,trial_type,List
1,Crinkle_Simple,Diamond_Simple,Crinkle,Diamond,simple,5,stimuli/images/Crinkle_Simple.png,stimuli/images/Diamond_Simple.png,left,right,stimuli/images/Crinkle_Simple.png,stimuli/images/Diamond_Simple.png,stimuli/images/Diamond_Simple.png,stimuli/images/Crinkle_Simple.png,5,5,10,lab77,22,23,7,set_2,loc_order_1,fam_time_set_2,fribble,1217
2,Pyramid_Complex,Gumdrop_Complex,Pyramid,Gumdrop,complex,15,stimuli/images/Pyramid_Complex.png,stimuli/images/Gumdrop_Complex.png,right,left,stimuli/images/Gumdrop_Complex.png,stimuli/images/Pyramid_Complex.png,stimuli/images/Pyramid_Complex.png,stimuli/images/Gumdrop_Complex.png,5,5,30,lab77,22,23,7,set_2,loc_order_1,fam_time_set_2,fribble,1217
3,Tripod_Complex,Bowl_Complex,Tripod,Bowl,complex,10,stimuli/images/Tripod_Complex.png,stimuli/images/Bowl_Complex.png,left,right,stimuli/images/Tripod_Complex.png,stimuli/images/Bowl_Complex.png,stimuli/images/Bowl_Complex.png,stimuli/images/Tripod_Complex.png,5,5,20,lab77,22,23,7,set_2,loc_order_1,fam_time_set_2,fribble,1217
4,Pacman_Simple,Cylinder_Simple,Pacman,Cylinder,simple,10,stimuli/images/Pacman_Simple.png,stimuli/images/Cylinder_Simple.png,right,left,stimuli/images/Cylinder_Simple.png,stimuli/images/Pacman_Simple.png,stimuli/images/Pacman_Simple.png,stimuli/images/Cylinder_Simple.png,5,5,20,lab77,22,23,7,set_2,loc_order_1,fam_time_set_2,fribble,1217
5,SimsDiamond_Complex,Pumpkin_Complex,SimsDiamond,Pumpkin,complex,5,stimuli/images/SimsDiamond_Complex.png,stimuli/images/Pumpkin_Complex.png,right,left,stimuli/images/Pumpkin_Complex.png,stimuli/images/SimsDiamond_Complex.png,stimuli/images/SimsDiamond_Complex.png,stimuli/images/Pumpkin_Complex.png,5,5,10,lab77,22,23,7,set_2,loc_order_1,fam_time_set_2,fribble,1217
6,Bowtie_Simple,Arrow_Simple,Bowtie,Arrow,simple,15,stimuli/images/Bowtie_Simple.png,stimuli/images/Arrow_Simple.png,left,right,stimuli/images/Bowtie_Simple.png,stimuli/images/Arrow_Simple.png,stimuli/images/Arrow_Simple.png,stimuli/images/Bowtie_Simple.png,5,5,30,lab77,22,23,7,set_2,loc_order_1,fam_time_set_2,fribble,1217
7,Frac4A_Complex,Frac4B_Complex,4A,4B,complex,10,stimuli/images/Frac4A_Complex.png,stimuli/images/Frac4B_Complex.png,left,right,stimuli/images/Frac4A_Complex.png,stimuli/images/Frac4B_Complex.png,stimuli/images/Frac4B_Complex.png,stimuli/images/Frac4A_Complex.png,5,5,20,lab77,22,23,7,set_2,loc_order_1,fam_time_set_2,fractal,1217
8,Frac2A_Simple,Frac2B_Simple,2A,2B,simple,15,stimuli/images/Frac2A_Simple.png,stimuli/images/Frac2B_Simple.png,right,left,stimuli/images/Frac2B_Simple.png,stimuli/images/Frac2A_Simple.png,stimuli/images/Frac2A_Simple.png,stimuli/images/Frac2B_Simple.png,5,5,30,lab77,22,23,7,set_2,loc_order_1,fam_time_set_2,fractal,1217
9,Frac6A_Simple,Frac6B_Simple,6A,6B,simple,5,stimuli/images/Frac6A_Simple.png,stimuli/images/Frac6B_Simple.png,right,left,stimuli/images/Frac6B_Simple.png,stimuli/images/Frac6A_Simple.png,stimuli/images/Frac6A_Simple.png,stimuli/images/Frac6B_Simple.png,5,5,10,lab77,22,23,7,set_2,loc_order_1,fam_time_set_2,fractal,1217
10,Frac5A_Complex,Frac5B_Complex,5A,5B,complex,15,stimuli/images/Frac5A_Complex.png,stimuli/images/Frac5B_Complex.png,left,right,stimuli/images/Frac5A_Complex.png,stimuli/images/Frac5B_Complex.png,stimuli/images/Frac5B_Complex.png,stimuli/images/Frac5A_Complex.png,5,5,30,lab77,22,23,7,set_2,loc_order_1,fam_time_set_2,fractal,1217
